图形字符名称表器

 
符号  名称	符号  名称	符号  名称	符号  名称
      间隔符号     
、 顿号    
。 句号    
· 间隔点    
ˉ 声调（阴平）
ˇ 声调（上声）
¨ 变音符号    
〃 相同符号    
々 重复符号    
— 横线 
～ 数字范围    
‖ 双竖线    
… 三点省略号 
‘ 左单引号    
' 右单引号    
“ 左双引号    
” 右双引号    
〔 左六角括号 
〕 右六角括号 
〈 左单书名号 
〉 右单书名号 
《 左双书名号 
》 右双书名号 
「 左角引号    
」 右角引号    
『 左双角引号 
』 右双角引号 
〖 左空方圆引号
〗 右空方圆引号
【 左实方圆引号
】 右实方圆引号
± 正负号    
× 乘号    
÷ 除号    
∶ 比号    
∧ 逻辑乘    
∨ 逻辑加    
∑ 求和符号    
∏ 求积符号    
∪ 并符号    
∩ 交符号    
∈ 属于符    
∷ 定义符    
√ 根号    
⊥ 垂直号    
∥ 平行于    
∠ 角符号    
⌒ 弧符号    
⊙ 圆符号    
∫ 积分    
∮ 环积分    
≡ 恒等于    	≌ 全等于 
≈ 近似等于 
∽ 近似于    
∝ 正比于    
≠ 不等于    
≮ 不小于    
≯ 不大于    
≤ 小于等于 
≥ 大于等于 
∞ 无穷大    
∵ 因为符号 
∴ 所以符号 
♂ 雄符号    
♀ 雌符号    
° 度符号    
′ 分符号    
″ 秒符号    
℃ 摄氏度    
＄ 美元符号 
¤ 国际通货符号
￠ 美分符号 
￡ 英磅符号 
‰ 千分比    
§ 节符号    
№ 编号符    
☆ 空五星    
★ 实五星    
○ 空圆    
● 实圆    
◎ 双空圆    
◇ 空菱形    
◆ 实菱形    
□ 空方块    
■ 实方块    
△ 空三角    
▲ 实三角    
※ 米号    
→ 向右箭头 
← 向左箭头 
↑ 向上箭头 
↓ 向下箭头 
〓 铅空符号 
⒈ 点一    
⒉ 点二    
⒊ 点三    
⒋ 点四    
⒌ 点五    
⒍ 点六    
⒎ 点七    
⒏ 点八    
⒐ 点九    
⒑ 点十    	⒒ 点十一 
⒓ 点十二 
⒔ 点十三 
⒕ 点十四 
⒖ 点十五 
⒗ 点十六 
⒘ 点十七 
⒙ 点十八 
⒚ 点十九 
⒛ 点二十 
⑴ 括号一 
⑵ 括号二 
⑶ 括号三 
⑷ 括号四 
⑸ 括号五 
⑹ 括号六 
⑺ 括号七 
⑻ 括号八 
⑼ 括号九 
⑽ 括号十 
⑾ 括号十一 
⑿ 括号十二 
⒀ 括号十三 
⒁ 括号十四 
⒂ 括号十五 
⒃ 括号十六 
⒄ 括号十七 
⒅ 括号十八 
⒆ 括号十九 
⒇ 括号二十 
① 圆圈一 
② 圆圈二 
③ 圆圈三 
④ 圆圈四 
⑤ 圆圈五 
⑥ 圆圈六 
⑦ 圆圈七 
⑧ 圆圈八 
⑨ 圆圈九 
⑩ 圆圈十 
㈠ 括号汉字一 
㈡ 括号汉字二 
㈢ 括号汉字三 
㈣ 括号汉字四 
㈤ 括号汉字五 
㈥ 括号汉字六 
㈦ 括号汉字七 
㈧ 括号汉字八 
㈨ 括号汉字九 
㈩ 括号汉字十 
Ⅰ 罗马一 
Ⅱ 罗马二 	Ⅲ 罗马三 
Ⅳ 罗马四    
Ⅴ 罗马五    
Ⅵ 罗马六    
Ⅶ 罗马七    
Ⅷ 罗马八    
Ⅸ 罗马九    
Ⅹ 罗马十    
Ⅺ 罗马十一    
Ⅻ 罗马十二    
＂ 双引号    
＃ 数码记号    
￥ 货币符号    
％ 百分比    
＆ 并列符号    
＇ 右撇号    
（ 左圆括号    
） 右圆括号    
＊ 星号    
＋ 加号    
， 逗号    
－ 减号    
． 小数点    
／ 正斜线    
： 冒号    
； 分号    
＜ 小于符号    
＝ 等号    
＞ 大于符号    
？ 问号    
＠ 商用符号    
［ 左方括号    
＼ 反斜线    
］ 右方括号    
＾ 箭头    
＿ 下横线    
｀ 左撇号    
｛ 左花括号    
｜ 竖线    
｝ 右花括号    
￣ 上横线    
─ 横表线    
│ 竖表线    
┌ 左上表符    
┐ 右上表符    
└ 左下表符    
┘ 右下表符    
├ 左表符    
┤ 右表符    
┬ 上表符    
┴ 下表符    
┼ 中表符   
